station,Q,Q/day,depth,LV,LV+/-,Qexp,Latitude,Longitude,L,A,G,date,time,zeroGate,gm,depth_ecp,name_1,Qmax_exp,lat_long
M.188A,2.66,0.23,2.73,160.43,-2.17,1.98,15.18159008,102.2427368,4.90,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,157.6999969,-0.5,2.66,M.188A_1,70,"15.1815900802612,102.242736816406"
M.195,47.40,4.10,3.48,154.78,-3.32,46.85,15.20925999,102.392952,6.80,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,151.3000031,-1,3.47,M.195_1,320,"15.2092599868774,102.392951965332"
M.184,21.40,1.85,3.54,153.54,-1.76,20.2,15.21996021,102.428299,5.30,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,150,-0.3,3.52,M.184_1,132,"15.2199602127075,102.428298950195"
M.186,5.60,0.48,2.56,160.86,-2.04,5.9,15.06610966,102.4024963,4.60,▼,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,158.3000031,-1,2.59,M.186_1,110,"15.0661096572875,102.40249633789"
M.185A,20.40,1.76,3.22,153.62,-5.23,20.8,15.02688026,102.805687,8.45,▼,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,150.3999939,-0.65,3.24,M.185A_1,380,"15.0268802642822,102.805686950683"
M.174,***,-,2.84,137.04,-3.66,***,15.51344967,102.8438263,6.50,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,134.1999969,-1,2.78,M.174_1,339,"15.5134496688842,102.843826293945"
M.104,***,-,4.05,133.85,-3.95,***,15.43527031,103.0126266,8.00,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,129.8000031,-1,3.93,M.104_1,850,"15.4352703094482,103.012626647949"
M.6A,134.70,11.64,3.41,126.41,-4.54,132.6,15.30002975,103.2922821,7.95,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,123,-1.95,3.38,M.6A_1,1170,"15.3000297546386,103.292282104492"
M.187,11.60,1.00,2.08,138.88,-1.52,12,14.85737991,103.4769363,3.60,▼,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,136.8000031,-0.5,2.1,M.187_1,60,"14.85737991333,103.476936340332"
M.159,***,-,5.48,126.38,-2.72,***,15.14118958,103.4293594,8.20,▲,ระดับต่ำกว่าตลิ่ง,17/9/2023,6.00น.,120.9000015,-1,5.06,M.159_1,320,"15.1411895751953,103.429359436035"
